OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
760,4564,6202405,Guenther Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,548.335997847457,15680.6056772201
761,7072,3242601,Lowman Beach Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1819.25015916763,180539.36786287
762,7165,4253107,Westlake Square,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,104.816911981708,468.097040903614
763,2624,6263101,Farrel McWhirter Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,7059.64376988714,2948742.95540029
764,7194,3241303,Delridge Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3586.74098414899,610240.749382844
765,15404,5210603,Slaughter Memorial Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,410.435285533572,6497.43437991148
766,5483,3220703,Paradise Valley Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1898.19053862428,205756.255010004
767,5014,5242214,Forest Glen East Neighborhood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3318.43973178386,206649.964680094
768,7272,6250602,Perrigo Community Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,6305.28341478799,1298171.09191386
769,2576,5251401,Westside Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,2800.08419926783,278200.657924369
770,2566,4223401,Bingaman Pond Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,6271.28004432081,748565.231431051
771,2752,6222201,Wetland 79 Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4017.36963427979,299602.947534346
772,2820,7203101,Pinnacle Peak Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,20386.3855160804,15139574.89824
773,3018,8232501,Boxley Creek Site,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,18080.3381481603,6387130.19818961
774,2976,4211905,BPA Trail Site,Trail Site Regional,Other Utility District,Other Government,City of Federal Way,City,City of Federal Way,City,20424.5750033476,2177243.37571721
775,2967,5231706,Cedar River Trail Site - Renton,Trail Site Regional,City of Renton,City,City of Renton,City,City of Renton,City,30978.7924394575,1602081.8517346
776,2960,5262203,West Sammamish Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,54087.3473680911,3996282.26245166
777,4856,6263201,PSE Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,521.46173806655,12157.9580318999
778,15320,5261604,Tolt Pipeline Trail East Norway Hill Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,Other Utility District,Other Government,3104.92065871216,102935.027582282
779,7827,7243503,Jacobia Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,777.500534775261,36904.3735362964
780,7024,4252907,Cascade Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1710.03561533187,88453.5500286843
781,2564,4230201,Kubota Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,9830.35599570362,1775045.83243775
782,7260,8243302,Three Forks Natural Area - Snoqualmie,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,24316.7895322168,9106327.23068179
783,2281,4250201,Warren G. Magnuson Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,33155.3400289778,13688426.2743782
784,5097,5251805,Morningside Park,Park Site,City of Yarrow Point,City,City of Yarrow Point,City,City of Yarrow Point,City,3125.75813058993,375637.867068851
785,2436,4211402,Centennial Viewpoint Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,659.312669605834,21605.7951203148
786,2604,5253301,Wilburton Hill Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,13459.4531419925,5361155.02098721
787,5380,7242615,Curtis Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,506.627209135872,11817.5940428528
788,5038,5242311,Saddleback Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,5252.37347165382,188620.156703194
789,2807,5250704,Marsh Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,1816.60496145202,186070.882398945
790,2314,4251902,B.F. Day Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1311.97105879906,102360.326728439
791,5063,4253601,Medina Beach Park,Park Site,City of Medina,City,City of Medina,City,City of Medina,City,1226.70202306789,63177.8974747329
792,4634,7241001,Fall City Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,8834.5953196155,3130419.6599649
793,7047,4240511,City Hall Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,850.397671569955,41161.8125385311
794,7841,4231606,Highline SeaTac Botanical Garden,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,2625.93839091431,392567.612276304
795,5383,7242616,Kinsey Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,371.800478618829,8880.81830675341
796,5040,5242304,SE 63rd Greenbelt North,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,5197.2053650529,295573.217258006
797,2358,5223202,Mary Olson Farm,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,13176.7780875959,2929364.7319027
798,5089,5260710,Triangle Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,114.852273572339,519.390234810895
799,7212,3230203,Arroyos Natural Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5059.43367515508,328285.552572194
800,7232,3241403,Fauntleroy Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,264.103732368848,2973.24995708197
801,5024,5241402,Horizon Heights Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4828.13553397679,220367.421717468
802,5032,5242210,Little Field,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,235.109046496654,3226.18882502269
803,7220,4252805,3001 E Madison,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,572.489844605972,14379.9363847673
804,2372,4262502,O. O. Denny Park,Park Site,City of Seattle,City,Finn Hill PRD,Park District,Finn Hill PRD,Park District,8405.22491498356,1976652.78057458
805,7142,3252203,Parkmont Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,802.455812649845,9188.54003758268
806,2523,4240101,Roanoke Park - Mercer Island,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,1076.71747713724,42700.0750407456
807,7243,4242901,Oxbow Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,794.569366381351,35415.3448487742
808,2396,5211702,Lea Hill Tennis Courts,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1078.40539042753,66998.3815169761
809,7149,4252908,Fairview Walkway,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,954.052040817181,21652.9508967082
810,7278,5263004,Brookhaven Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,839.499401747801,42286.0352235603
811,15340,3231803,Corbin Beach Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2429.57355917113,147432.643365806
812,2439,4211101,Gaines Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1298.43312850159,58394.3665799582
813,6924,7261802,Alva Miller Park,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,1359.73488755929,81464.9968596733
814,2582,5251601,Bridle Trails State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,26221.8733669494,20573325.8047413
815,7065,4241603,York Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,454.369264958734,11032.5510935905
816,6963,4263001,Mineral Springs Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2169.38064730845,173127.305490827
817,5074,8243003,Railroad Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1373.00032598006,41579.9334931904
818,2768,5212102,Porter Levee Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15420.3778689387,2271462.74762014
819,8215,6243304,Cornick Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,331.387932680881,6416.72723212079
820,7040,4240407,Spruce Street Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,755.891173513595,31991.67084748
821,7295,4222408,Kaibara Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1151.45246293529,25210.1907185101
822,5093,4241204,North Mercerdale Hillside,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,2162.51281022315,222757.393568792
823,2785,12241501,Alpine Lakes Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,968754.807355623,6402173359.73764
824,2418,3252402,Queen Anne Bowl Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2616.77610012309,230552.688595464
825,7023,4252906,Summit Slope Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,400.132474692658,9605.34237228285
826,15360,5261704,Pipers Crest Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2182.61609513756,256007.359999613
827,5309,4220902,Steven J. Underwood Memorial Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,5157.70355252432,899696.500406261
828,5023,5242216,Forestpark Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,490.209033967292,16341.7795953972
829,2467,4220601,Nature Trails Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,4208.55834621475,818312.097510864
830,6904,5240603,Burrows Landing,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,356.921058928555,5343.08572411307
831,2808,5250601,Waverly Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,2028.34315054996,243158.705245296
832,2285,4250701,Woodland Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,21511.9540901787,8205165.1900801
833,7171,4240409,Peppis Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1229.22474477683,98793.0086085239
834,7090,4251002,University Circle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,314.153904154301,7853.43689997282
835,2375,4262401,Big Finn Hill Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,34367.1439095535,9816164.41956475
836,5174,7242614,Cottonwood Natural Area,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,1170.23014156621,66126.7740541477
837,5065,5251904,Clyde Hill View Park,Park Site,City of Clyde Hill,City,City of Clyde Hill,City,City of Clyde Hill,City,246.90961132514,2839.48079940608
838,2549,4220801,Des Moines Beach Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,5739.04784726808,639467.436682353
839,8233,4243004,West Duwamish GS: Othello Street,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,11401.578158126,1863996.20213619
840,8206,6242803,Salmon Run Nature Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,1283.48987769894,101717.72280634
841,6922,4213001,Madrona Park - Federal Way,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,5303.11504165228,604642.715513029
842,5167,7242607,Hoff Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,583.760822786279,21553.4783167195
843,2828,5251802,Houghton Neighborhood Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,588.720616181928,21184.220474462
844,5357,6263104,Lower Bear Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5430.44209056485,832960.638848632
845,2324,5222601,Lake Meridian Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,6238.78470184607,673546.840686471
846,2793,5233601,Petrovitsky Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,18361.7310109785,3834775.78063203
847,8114,7243505,Satterlee Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,758.141465218415,21773.0081105964
848,2786,5250301,Welcome Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1778.66737793853,124503.200472687
849,2494,4231901,Lakeview Park - Burien,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1922.60567805044,205418.663516387
850,5092,5240702,Gallagher Hill Open Space,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,5733.11566969329,479948.255436377
851,2750,5241903,SE 53rd Open Space,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,9742.07834094525,1093194.61888997
852,2518,4240502,Yesler Terrace Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1715.7340929393,139118.740339016
853,7164,4253207,Boren Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,171.262180772586,1158.38613498723
854,7823,4251910,Thomas C. Wales Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,994.833565012941,58775.2977350271
855,7265,4240517,Klondike Gold Rush National Historical Park,Park Site,Other Private,Private,US National Park Service,Federal,Park / Recreation District,Other Government,336.183338273788,6489.89804952228
856,2700,5263003,Juanita Heights Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,3057.81153758914,256085.878270467
857,8234,3241305,West Duwamish Greenbelt,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,17282.9677065109,1218590.59069649
858,7139,3252202,Magnolia Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5018.78974811224,664500.363226366
859,2384,5212901,Rotary Park - Auburn,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1885.18394845196,170878.154281383
860,2633,5240901,Mercer Slough Nature Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,26166.3530828951,13877762.5752784
861,2443,4212001,West Hylebos Wetlands Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,12522.5238951314,4346508.09820468
862,2775,13260401,Henry Jackson Wilderness,Park Site,US Forest Service,Federal,US Forest Service,Federal,US Forest Service,Federal,58253.9135327671,87763623.6603583
863,2533,8230201,Mount Si NRCA,Park Site,Washington State DNR,State,Washington State DNR,State,Washington State DNR,State,325353.822694871,561025776.432339
864,7280,3211203,Dumas Bay Centre,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3151.16165955438,558623.836507658
865,2600,5260502,Royal Oaks Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1434.8765015439,98251.0871363125
866,5026,5242403,Lakemont - Chandler Neighborhood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,12609.2191677734,350920.780291126
867,8124,4212301,7th Avenue Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,519.388503120568,8713.27716492707
868,7013,4252703,Denny Blaine Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,977.798496559247,24456.5580189319
869,2316,4251801,Wallingford Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1830.74965312028,195577.255591172
870,2424,4212702,South County Ballfields,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,4839.9101823836,1069098.0268963
871,2984,7253401,Griffin Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,16979.4270054843,3222351.78851995
872,5173,7242613,Bog Natural Area,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,4187.32645428358,585943.545916934
873,7146,4253006,Observatory Courts,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,819.902853490766,36193.9945006576
874,7162,4253205,McGilvra Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,257.988855847206,2651.98719572819
875,2474,3242401,West Seattle Golf Course,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,23949.6373372018,6604465.57427609
876,7104,3251203,Cascade Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,145.416802747424,1205.86049664865
877,8208,6242805,Centennial Park - Issaquah,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,332.337419463248,3023.58388943754
878,5007,5242211,Meadow Wood Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1373.02630630172,93423.6807963223
879,7857,3241509,Weather Watch Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,693.757939912573,28269.7292149426
880,5084,5260605,Conifer View Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,1225.93822340051,66719.3464878992
881,2410,4240501,Dr. Rizal Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2652.40064885425,416912.939574434
882,6978,3252303,Smith Cove Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2343.10839472885,216145.487176045
883,4274,5243201,May Creek Park - County,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,19695.0982698746,2121359.18948634
884,6912,5253501,Hillaire Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1821.8971107384,182011.808249793
885,7070,3242403,Greg Davis Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1069.92143849394,54463.6740902447
886,7105,3251204,Sunset Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,288.776872391512,4761.59995793739
887,2382,5212903,Game Farm Wilderness Park,Park Site,Washington State Parks,State,City of Auburn,City,City of Auburn,City,8498.95758538905,2682255.83918789
888,2627,5241802,Hollerbach Open Space,Park Site,City of Mercer Island,City,City of Mercer Island,City,City of Mercer Island,City,2444.38782326737,228632.005975695
889,2770,3212402,Coronado Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1220.50080723621,35449.8888264153
890,6919,4210703,Fishers Pond Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3756.70759694989,631452.030244067
891,7163,4253206,Boylston Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,71.0677973123042,199.688872412699
892,15345,4213508,Milwaukee Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,788.583832703777,12845.5831089881
893,8225,2221302,Fisher Creek Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3990.63381753484,882635.681624295
894,7195,3242407,West Duwamish GS: Puget Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,22827.6726907612,2572013.90063561
895,2332,7242901,Preston Ridge Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,22786.4991852058,10250883.0506112
896,7884,5231805,Burnett Linear Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,2135.98358244972,42608.4291893817
897,2532,4221302,Kent Memorial Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,3012.2465793906,505649.858113267
898,2659,6230301,Squak Valley Park,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,7982.82530788317,1294323.12682852
899,4974,4243503,Beer Sheva Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3535.16384124574,378784.893221959
900,7824,7242618,Borden Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,592.459852795998,18029.6391758519
901,7103,3251202,Greenwood Triangle,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,353.041289350203,4502.89664726429
902,6898,5252905,McCormick Park - Bellevue,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,4111.44675306963,118118.212843899
903,2651,6262901,Redmond Watershed Preserve,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,27014.760933641,36041608.8846592
904,5051,5242303,West Summit Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,6779.9071826556,328984.739400317
905,2760,5232301,Cavanaugh Pond Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,15935.0677743347,2711477.61433138
906,7196,3242408,Puget Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,7019.93437562548,1108013.79146149
907,7246,4250404,Wedgwood Square,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,226.954611897587,2971.62543697169
908,4563,6202605,Flensted Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,1518.69194339267,110817.620921011
909,2575,4230401,Cecil Moses Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2026.89581140077,155804.967541836
910,2283,4243401,Rainier Beach Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2772.79583958836,412428.407814514
911,7839,4211302,Auburn Environmental Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,22062.485296515,8183097.09736482
912,2260,4261704,Ridgecrest Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City,2050.00840848482,161285.167386314
913,6928,4263103,Greenwood Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1574.26452733228,110177.460885484
914,2357,11262601,Ballfield Park,Park Site,City of Skykomish,City,City of Skykomish,City,City of Skykomish,City,2215.25742561106,278764.457489164
915,7274,5262501,NE Redmond Area Neighborhood Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1985.21504699845,220123.471197447
916,3168,7241902,Mitchell Hill Connector Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,50616.6520100057,25788499.8526277
917,7138,3252305,Ella Bailey Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1310.43467878462,106291.710877486
918,5308,4220805,Big Catch Plaza,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,601.26828236903,17893.5975705297
919,5068,4261002,Eagle Scout Park,Park Site,City of Lake Forest Park,City,City of Lake Forest Park,City,City of Lake Forest Park,City,569.198100699368,8892.92993230332
920,7038,4253403,Madrona Briar Patch,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,378.147861043055,7339.91876280198
921,7556,8233402,Rattlesnake Lake Recreation Area,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,24749.2595038384,1923182.27322664
922,7580,3241203,Jack Block Park,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,6824.3705032295,218155.442389159
923,7808,3222905,Maury Island Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,22390.0592719294,12016746.809801
924,15335,4232305,Macadam Winter Garden,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,4090.30299651105,426847.110492153
925,7273,6251901,Viewpoint Neighborhood Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,1915.41777133684,207051.431586622
926,7145,3252507,Parsons Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,558.23971916271,19250.6172224439
927,2726,6253601,Soaring Eagle Regional Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,28355.1357049451,33512344.6130135
928,2792,4250802,Cowen Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,2515.54206997546,380334.088936486
929,8150,5241003,Sunset Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3196.1802857205,219102.429406937
930,5050,5241306,Vuemont South Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3354.14526192265,110540.63050042
931,2468,3250202,Salmon Bay Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1465.74092432016,122884.146070506
932,8106,4233003,Walker Creek Preserve,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,9502.14671045861,1208089.70183864
933,2767,9190701,Federation Forest State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,72193.63261907,28650157.2609729
934,5000,6243201,Talus Native Growth Protection Area,Park Site,City of Issaquah,City,City of Issaquah,City,City of Issaquah,City,31714.5024344645,16727356.5629224
935,6895,5243102,Kennydale Beach Park,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1010.92977633638,56790.1108346315
936,2317,4251501,Laurelhurst Playfield,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,3161.44727077076,588468.023619865
937,7022,4252905,Thomas Street Mini Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,419.558773694877,10781.4840315627
938,7855,4240602,Washington Street Boat Landing,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,218.823694720622,2117.6371992496
939,5083,5260801,Bracketts Landing Park,Park Site,City of Bothell,City,City of Bothell,City,City of Bothell,City,823.90905196235,23734.2739387275
940,2268,4252901,Volunteer Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,5769.26483855714,2104393.71609904
941,5008,5241406,Collingwood Mini Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,1041.49724331213,45870.7222120693
942,5376,7261901,Big Rock Ball Fields,Park Site,City of Duvall,City,City of Duvall,City,City of Duvall,City,2860.28311214708,425724.33488029
943,2374,7251701,Tolt River - John MacDonald Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,37789.4170632021,24936262.3601733
944,2560,4230603,Steve Cox Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2940.98339694361,523980.857947845
945,2493,4231902,Dottie Harper Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1645.68570443699,171590.717432957
946,2427,4212401,GSA Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,2105.07932442946,243839.919535191
947,2641,5250401,Forbes Lake Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City,6917.23968252522,447181.995356928
948,2292,4242201,Lakewood Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1195.89757169356,85908.0771204837
949,7270,5263501,Meadow Neighborhood Park,Park Site,City of Redmond,City,City of Redmond,City,City of Redmond,City,2195.5760076294,218045.451794872
950,7131,4251909,East Queen Anne Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,980.256693220675,60030.3339796839
951,7204,4241606,Lake People Park (Xacuabs),Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,609.980205010077,22928.9408953646
952,7817,5253203,Surrey Downs Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3352.87214383837,499401.702585272
