OBJECTID,KC_FAC_FID,KCPARKFID,SITENAME,SITETYPE,OWNER,OWNERTYPE,MANAGER,MANAGETYPE,MAINTD_BY,MAINTTYPE,SHAPE_Length,SHAPE_Area
259,7591,3232402,Eagle Landing Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,2758.48726619153,264325.297223697
260,2451,3211501,Dash Point Highlands Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,2241.44246692718,216553.536545726
261,7956,4231102,Codiga Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,2616.46621997793,296758.906700895
262,2691,6231001,Squak Mountain/Tiger Mountain Corridor,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,27073.3886330068,11649117.4089433
263,3688,7251401,Tolt River Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,59279.1504077494,13950981.8193202
264,2559,4230604,White Center Pond Natural Area,Park Site,King County WLRD,County,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,5159.92465496856,407736.844449871
265,2351,5230403,Honeydew Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,330.08253730826,6739.233254541
266,2432,4211903,Saghalie Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,3482.6875002288,700032.388506794
267,5384,7242617,Muir Park,Park Site,City of Snoqualmie,City,City of Snoqualmie,City,City of Snoqualmie,City,734.360551988274,30389.7261109867
268,7113,3251504,Carleton Highlands,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,931.918836764228,35357.1997601772
269,2836,5240501,Killarney Glen Park,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,3039.87136982096,454521.638598585
270,15321,5242901,Little Rhody Park,Park Site,City of Newcastle,City,City of Newcastle,City,City of Newcastle,City,340.738794772646,6724.7321922845
271,7958,4231002,Duwamish Hill Preserve,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,2714.72152683697,380874.705471535
272,2449,3220502,Vashon Commons,Park Site,Vashon School District,School District,Vashon PRSD,Park District,Vashon PRSD,Park District,6705.00077945576,2208218.09741207
273,2476,3241501,Schmitz Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,11170.1879570865,2311126.30225137
274,5484,6213301,Lower Newaukum Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,30399.9546363028,7550986.89283759
275,2835,7203003,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City,3159.40156319385,585459.235506854
276,2843,7211001,Kanaskat Palmer Recreation Area,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,17214.2304910978,12596269.8762064
277,15302,6232801,Cedar Hills Greenhouse Site,Shop Site,Other King County,County,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2111.67875562867,257865.912544556
278,4857,4212901,Hylebos Wetlands,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,11272.7812940173,2065025.77362619
279,2483,3231202,Shorewood Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1846.69587402169,143324.236486822
280,2618,5242302,Lakemont Highlands Park and Open Space,Park Site,City of Bellevue,City,City of Bellevue,City,City of Bellevue,City,10875.8281507771,1148420.28086709
